Post ID,Author Name,Likes,Comments,Post Title,Caption,Date Published,Images,Author Avatar,Stars,Author Collect Nr,Author Fans Nr,Author Note Nr,Video URL,Note URL
678a28b50000000017003474,皇家宠物食品,21,共 14 条评论,新春喵宴！宠物年夜饭🐱皇包了,新春来临，阿皇给毛孩子送年夜饭🎁 干粮吃腻了？马上呈上湿粮餐包🍚 小香包和小鲜包香味四溢，饭张力拉满了 蛇年阿皇给你一只“不挑食的小猫” 	 【拍1发 3】喵宴现在开席！ 🎁活动细则 小红书店铺拍湿粮餐包正装1份，赠试吃2包 参与好评活动，再加送正装1份 📕参与方式 1️⃣在小红书购买@皇家宠物食品 店铺商品 2️⃣发布图文好评：3张图＋15字文字评论 3️⃣并发布图文试吃笔记：3张图＋100字好评，好吃爱吃多吃！ 4️⃣加入主页“皇家粉丝”，截图参与凭证，领取正装赠品 	 🧧蛇年第一份好礼，就得送到猫猫心趴上 限时活动，赶快行动起来，让ta吃上幸福年夜饭。 更多福利活动可进群蹲哦 #皇家宠物#宠粉福利#宠物过大年#和猫咪一起过年#宠粉#新年礼物,编辑于 5 天前 江苏,images_user/678a28b50000000017003474.jpg,avatars_user/678a28b50000000017003474.jpg,赞,8.5万,2.2万,21,N/A,/user/profile/5c03825e000000000500e9ce/678a28b50000000017003474?xsec_token=ABwlwOHcyYaxu0zLZH-coFY6yWQE55f_j3j4MHj6O0pcw=&xsec_source=pc_user
6792206c0000000029034b18,皇家宠物食品,241,0,📒体验官招募｜幼猫幼犬，就吃皇家❗️,“新手养宠如何养出健康小猫小狗？” 相信是很多铲屎官面临的难题🤯 毕竟打好身体基础真的重要！ - 宠物接回家最容易碰到的问题就是 👉免疫力低下/营养不均衡/瘦小/肠胃脆弱... 这时候就需要选择一款营养和适口性兼得的粮 没错！新年之际阿皇带着幼猫幼犬粮来啦！ 全网好评无数，安心无平替~💖 帮助宠物提高营养和保护力，同时促进生长！ - 爱吃的毛孩子们举爪🐾 🏮参与方式 关注@皇家宠物食品 ，点赞并收藏本此笔记 评论区留下 ta们的姓名照片， 阿皇将抓取5️⃣0️⃣位幸运小猫小狗🐱🐶 	 ✍️招募要求 1、收到全价粮一周内发布真实的试吃笔记 2、笔记至少保留三个月，且必须公开 3、图文可授权官方使用 🕒招募时间 1月23日-2月4日 赶紧踊跃报名吧~ 	 更多福利活动可进群蹲哦 #皇家 #皇家宠物 #皇家体验官 #招募体验官 #皇家猫粮 #绝育粮 #皇家绝绝紫 #猫咪绝育 #我的萌宠 #宠粉福利,编辑于 5 天前 江苏,images_user/6792206c0000000029034b18.jpg,avatars_user/6792206c0000000029034b18.jpg,241,8.5万,2.2万,21,N/A,/user/profile/5c03825e000000000500e9ce/6792206c0000000029034b18?xsec_token=ABPWKgoyjjjSAr4kMyh-T8oLWRqqsLeD-4E7Kt6JMfyDY=&xsec_source=pc_user
67ab22a5000000002901451f,皇家宠物食品,12,共 10 条评论,2.14不止撒糖，还要给主子撒福利！,铲屎官紧急集合 🐾 2月14日不止是情人节，更是【皇家宠爱日】👑 下午4点-6点，锁定直播间，和毛孩子一起撒糖告白，甜蜜加倍💕 🎁 超多玩法，宠粉不停 玩法1：3位免单，随机抽 关注并加入粉丝群，直播间下单确认收货后随赠同款 玩法2：甜蜜告白，赢好礼 分享你对毛孩子的甜蜜告白 阿皇随机抽取5名幸运粉丝，送上奶糕罐头 玩法3：福袋狂撒，送不停 开播即上福袋 点赞1万、3万、5万，福袋不停送！ ⏰ 直播时间：2月14日 下午4点 快来和毛孩子一起过个甜蜜情人节吧！🐱🐶 记得提前关注+入群，福利活动抢先拿！💖 #皇家宠爱日 #毛孩子甜蜜告白 #宠物直播 #情人节特辑 #铲屎官必看,今天 05:12 江苏,images_user/67ab22a5000000002901451f.jpg,avatars_user/67ab22a5000000002901451f.jpg,赞,8.5万,2.2万,21,N/A,/user/profile/5c03825e000000000500e9ce/67ab22a5000000002901451f?xsec_token=ABPXglgBKDfWs-jT5VeJqdpfhDN8senjitB4xGO4BLo40=&xsec_source=pc_user
67a72569000000002903dbee,皇家宠物食品,36,0,复工精神状态良好...只是想体验猫生🐱,阿皇复工后的精神状态be like： 身体在工位，灵魂还在床上 眼睛盯着屏幕，脑子已经飞到周末 咖啡一杯接一杯，还是困到怀疑人生 😴 而你家猫主子的日程表满满当当📅 8:00目送铲屎官出门，开始拆家计划 12:00 准时干饭，顺便嫌弃猫粮不够吃 15:00 睡个美容觉，梦里追小鸟🐦 18:00 蹲门口等铲屎官回家，假装很想他 22:00 夜生活开始，跑酷+蹦迪+喵喵演唱会🎤 🐾 你家主子今天在家干嘛了？ 评论区晒出你家猫主子的“打工”日常 来领阿皇准备的开工小礼物 🙋加入粉丝群，更多福利先知道！ #皇家宠物#复工后的精神状态 #上班综合征#猫咪的快乐生活 #铲屎官不在家 #云吸猫,编辑于 昨天 01:18 江苏,images_user/67a72569000000002903dbee.jpg,avatars_user/67a72569000000002903dbee.jpg,36,8.5万,2.2万,21,N/A,/user/profile/5c03825e000000000500e9ce/67a72569000000002903dbee?xsec_token=AB_ChFrFAq_SjYtospOPlBJ8pFeIKeKcUR6Swh9zmKBrs=&xsec_source=pc_user
6792fa6a000000002900d1a9,皇家宠物食品,40,共 69 条评论,大年初一|阿皇来给您拜年啦！,新年新岁，万象更新 走街串巷都会迎来那一句：新年快乐！ 阿皇也在这里祝毛孩子和铲屎官们蛇年大吉 愿大家所想皆所得 岁岁长喜乐，万事皆顺意！ - 除了祝福之外 拜年必不可少的当然是礼物啦！ 不知不觉间与毛孩子们开启的羁绊 在点点滴滴的幸福、陪伴中 又在岁月的年轮上留下了一圈 它虽不会言语，却以全身心的爱 温暖了我们的岁岁年年~ - 给阿皇看看宠物们的温馨春节日常 如：带宠物回家的趣事/宠物回乡爆改... 晒一晒有机会获得惊喜试吃好礼哦~ 更多福利活动可进群蹲哦 	 #大年初一 #皇家 #皇家宠物 #宠物也要过春节 #宠物过大年 #粉丝福利#皇家猫粮 #宠物回乡爆改 #大家的春晚,编辑于 5 天前 江苏,images_user/6792fa6a000000002900d1a9.jpg,avatars_user/6792fa6a000000002900d1a9.jpg,赞,8.5万,2.2万,21,N/A,/user/profile/5c03825e000000000500e9ce/6792fa6a000000002900d1a9?xsec_token=ABPWKgoyjjjSAr4kMyh-T8oJQ3Ds2kY1uMalHxyBmQr-w=&xsec_source=pc_user
6792f9d5000000002a00ce51,皇家宠物食品,10,共 19 条评论,春节不打烊，一起云寄养🐱🐕,明天就是新年啦🧨 阿皇祝铲屎官们蛇年大吉、福运绵长！ 大家是不是都要回家过年了 上上期讨论了宠物该怎么过年： “带回家/寄养/留守”？ 	 选择留守的毛孩子们 可以来评论区，一起【云寄养】 互相照看毛孩子们： ✅饮食饮水 一天能吃几顿皇家？有没有足够的粮食和水？ ✅如厕问题 有没有上厕所，记得一定要多准备几个盆/尿垫 ✅身体情况 心情好不好、有没有生病 ...... 在外过年的铲屎官们，也别忘了毛孩子们 放到阿皇的评论区，大家互相帮忙照看 快来一起“云寄养” 更多福利活动可进群蹲哦 	 #皇家宠物#宠物过年#宠物寄养#新手养猫#春节留守#养宠攻略#宠物也要过春节 #春节留守宠物 #宠物年夜饭 #宠物来拜年,编辑于 5 天前 江苏,images_user/6792f9d5000000002a00ce51.jpg,avatars_user/6792f9d5000000002a00ce51.jpg,赞,8.5万,2.2万,21,N/A,/user/profile/5c03825e000000000500e9ce/6792f9d5000000002a00ce51?xsec_token=ABPWKgoyjjjSAr4kMyh-T8oMuwQKLBeYHCvOOJDNr56R8=&xsec_source=pc_user
67936d94000000002902884a,皇家宠物食品,6,共 3 条评论,✋老师儿，别划走❗️济南的猫猫狗狗吃什么❓,方言街头采访第四集！ 阿皇上个月去济南和猫德学院做领养活动的时候 顺便用济南话也采访了一下济南的宠主们 北方可冷了，看看他们会有哪些宠物的健康困扰呢？ #皇家猫粮 #皇家 #皇家狗粮 #街头采访 #精准营养长久陪伴 #济南,01-24 江苏,images_user/67936d94000000002902884a.jpg,avatars_user/67936d94000000002902884a.jpg,赞,8.5万,2.2万,21,blob:https://www.xiaohongshu.com/3010cb4b-abc2-4bf5-b4a6-9e269ddffcc3,/user/profile/5c03825e000000000500e9ce/67936d94000000002902884a?xsec_token=ABCpd8iO5AHdCTYtwOtLHfeO5GrJKKHSEj9AH8mR-LoZs=&xsec_source=pc_user
6791e51000000000280350a1,皇家宠物食品,15,共 2 条评论,📍上海街头的老外都给宠物吃什么？,方言街头采访第三集！最近cattax也太火了，阿皇深深感受到世界人民大团结，突发奇想走上魔都街头采访歪果仁，一起来看看老外都给宠物吃什么粮？#皇家 #皇家猫粮 #街头采访 #皇家狗粮 #外国人,01-23 江苏,images_user/6791e51000000000280350a1.jpg,avatars_user/6791e51000000000280350a1.jpg,赞,8.5万,2.2万,21,blob:https://www.xiaohongshu.com/a2167424-3bd7-4700-8ec4-af1c5e7f653a,/user/profile/5c03825e000000000500e9ce/6791e51000000000280350a1?xsec_token=AByUaMc60Wjy537knGAw8QHu73wqueCImJEyIaUtueRbw=&xsec_source=pc_user
678f5cbf0000000029008b82,皇家宠物食品,15,共 10 条评论,阿皇送福利！宠物过大年！,上期阿皇与大家讨论了春节期间家里的毛孩子该如何照顾的问题， 发现还是有相当一些小伙伴会让毛孩子留守在家。 为了解决留守毛孩子的看护问题， 🎁 阿皇给大家送福利啦~ 即日起，通过美团外卖的北京区域宠本本门店下单皇家指定套餐， 即可赠送一次春节期间 小布在家免费上门喂养服务 套餐内既有美味的干粮，又搭配了营养丰富的主食级湿粮， 毛孩子也能吃上美味的年夜饭大餐哟~ 	 🙋本次活动数量有限，先到先得~ 有需求的小伙伴马上行动起来，美团外卖下单，皇家宠粮最快半小时送到家~ #皇家宠物#宠物年夜饭 #宠物也要过春节 #宠物过大年 #粉丝福利 #宠物喂养,编辑于 今天 02:57 江苏,images_user/678f5cbf0000000029008b82.jpg,avatars_user/678f5cbf0000000029008b82.jpg,赞,8.5万,2.2万,21,N/A,/user/profile/5c03825e000000000500e9ce/678f5cbf0000000029008b82?xsec_token=ABo6Q-oPrL4uT9BaAmaqfjJYKbc1rz8yGxw67H6JIKxXg=&xsec_source=pc_user
678a2ff6000000001901b6ec,皇家宠物食品,13,共 20 条评论,春节回家，猫猫狗狗怎么办？,过年临近，对于有些小伙伴来说 🐱🐶宠物成了“幸福的难题” 特别是租房党和要回老家的 阿皇看到好多小伙伴 都在讨论：宠物该怎么办呢❓ - 总结一下大家的讨论👇 一般分为：带回家/寄养/留守三个选择 带回家能够与家人一起共度幸福时光 但对于距离远的铲屎官来说 着实是有些不太方便...😭 - 阿皇罗列了三种方式各自的注意事项⚠️ 📝并将此笔记作为互助帖供大家讨论 有经验的小伙伴可以评论区留言 帮助新手小白开心过大年~🎉 阿皇会不定时出现给乖乖的猫猫狗狗撒粮！ 更多福利活动可进群蹲哦 	 #皇家 #皇家宠物 #春节宠物怎么办 #春节宠物留守攻略 #我的萌宠 #过年宠物,编辑于 5 天前 江苏,images_user/678a2ff6000000001901b6ec.jpg,avatars_user/678a2ff6000000001901b6ec.jpg,赞,8.5万,2.2万,21,N/A,/user/profile/5c03825e000000000500e9ce/678a2ff6000000001901b6ec?xsec_token=ABwlwOHcyYaxu0zLZH-coFY8LfTbS-YSWBfowz7U4t_8M=&xsec_source=pc_user
